contract_id,fiscal_year,contract_name,current_l1,current_l2,correction,created_at,status
106610,2023,ペトリオット定期修理（Ｃｏｎｆｉｇｕｒａｔｉｏｎ３＋形態）,P2,,装備品の維持整備では,2026-05-10T07:32:11Z,applied_P72
7052,2023,車両搭載高出力レーザ実証装置（協調対処用）（搭載部）,P2,,領域横断（電磁波）や研究開発では,2026-05-10T07:32:11Z,pending
106630,2023,地対空誘導弾ペトリオット・システム維持,P2,,装備品の維持整備では,2026-05-10T07:32:11Z,applied_P72
117102,2023,固定式警戒管制レーダー装置　Ｊ／ＦＰＳ－７Ｂ　試行定期修理　　一式,P2,,装備品の維持整備では（他も多数同様のものあり）,2026-05-10T07:32:11Z,applied_P72
5392,2023,ＨＰＭ装置（検証用）,P2,,領域横断（電磁波）か研究開発では,2026-05-10T07:32:11Z,pending
