url,source_types,agency_ids,agency_name,agency_category,fy_min,fy_max,expected_rows
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0606.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,11
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0607.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,26
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0608.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,50
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0609.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,42
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0610.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,45
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0611.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,24
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0612.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,29
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0701.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,19
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0702.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,10
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0703.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,16
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0705.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,3
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0706.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,10
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/nyuusatu/kouhyou-n-0707.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2025,2025,23
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0501.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2022,2022,34
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0502.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2022,2022,154
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0503.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2022,2022,90
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0504.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,69
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0505.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,33
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0506.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,180
